Sno	Trial	Variance	Anisotropy	Chem	Time	fraction	Regime
106	43	10	2	Tracer	1.815	0.7496902106567533	Fast
107	44	10	5	Tracer	1.3800000000000001	0.5700123915737298	Fast
108	45	10	10	Tracer	0.231	0.09541511771995043	Fast
109	46	0.1	2	Tracer	2.427	1.0024783147459726	Fast
110	47	0.1	5	Tracer	2.4	0.9913258983890952	Fast
111	48	0.1	10	Tracer	2.38	0.9830648492358528	Fast
112	49	1	2	Tracer	1.412	0.5832300702189177	Fast
113	50	1	5	Tracer	2.23	0.9211069805865344	Fast
114	51	1	10	Tracer	1.944	0.8029739776951672	Fast
115	52	10	2	Tracer	1.417	0.5852953325072283	Fast
116	53	10	5	Tracer	0.719	0.2969847170590665	Fast
117	54	10	10	Tracer	1.341	0.553903345724907	Fast
118	55	0.1	2	Tracer	2.4010000000000002	0.9917389508467576	Fast
119	56	0.1	5	Tracer	2.408	0.9946303180503923	Fast
120	57	0.1	10	Tracer	2.411	0.9958694754233787	Fast
121	58	1	2	Tracer	2.225	0.9190417182982238	Fast
122	59	1	5	Tracer	1.565	0.6464270962412225	Fast
123	60	1	10	Tracer	2.168	0.8954977282114828	Fast
124	61	10	2	Tracer	0.876	0.3618339529120198	Fast
125	62	10	5	Tracer	1.22	0.5039239983477901	Fast
126	63	10	10	Tracer	0.531	0.21933085501858735	Fast
127	64	0.1	2	Tracer	2.398	0.9904997934737712	Fast
128	65	0.1	5	Tracer	2.365	0.9768690623709211	Fast
129	66	0.1	10	Tracer	2.371	0.9793473771168938	Fast
130	67	1	2	Tracer	2.289	0.9454770755885997	Fast
131	68	1	5	Tracer	2.4010000000000002	0.9917389508467576	Fast
132	69	1	10	Tracer	1.733	0.7158199091284593	Fast
133	70	5	2	Tracer	1.86	0.7682775712515489	Fast
134	71	5	5	Tracer	2.005	0.8281701776125566	Fast
135	72	5	10	Tracer	1.293	0.5340768277571251	Fast
136	73	10	2	Tracer	2.0060000000000002	0.828583230070219	Fast
137	74	10	5	Tracer	0.733	0.3027674514663362	Fast
138	75	10	10	Tracer	0.601	0.24824452705493594	Fast
139	76	5	2	Tracer	1.607	0.6637752994630317	Fast
140	77	5	5	Tracer	1.82	0.751755472945064	Fast
141	78	5	10	Tracer	1.081	0.446509706732755	Fast
142	79	5	2	Tracer	1.677	0.6926889714993804	Fast
143	80	5	5	Tracer	0.9430000000000001	0.38950846757538204	Fast
144	81	5	10	Tracer	0.9560000000000001	0.3948781495249897	Fast
145	82	5	2	Tracer	1.441	0.5952085914911194	Fast
146	83	5	5	Tracer	2.008	0.829409334985543	Fast
147	84	5	10	Tracer	1.453	0.6001652209830648	Fast
