Trial,Variance,Anisotropy,Regime,Chem,Mass,Contribution,Time,fraction,Mass_spatial_base,Cont_spatial_base,meanmass_spatial_fraction,contribution_spatial_fraction
H,0.0,1,Slow,Immobile active aerobic degraders,4.284191326307593,0.034513011433374416,205.0,1.0,4.284191326307593,4.284191326307593,1.0,0.00805589872269315
H,0.0,1,Slow,Immobile active nitrate reducers,3.001638920409575,0.024180899144913545,205.0,1.0,3.001638920409575,3.001638920409575,1.0,0.00805589872269315
H,0.0,1,Slow,Immobile active sulphate reducers,0.0030923511398079123,2.4911667597297267e-05,205.0,1.0,0.0030923511398079123,0.0030923511398079123,1.0,0.00805589872269315
H,0.0,1,Slow,Immobile active ammonia oxidizers,0.5570738925972871,0.004487730859820187,205.0,1.0,0.5570738925972871,0.5570738925972871,1.0,0.00805589872269315
H,0.0,1,Slow,Mobile active aerobic degraders,1.2735416801338104,0.010259522794286451,205.0,1.0,1.2735416801338104,1.2735416801338104,1.0,0.008055898722693149
H,0.0,1,Slow,Mobile active nitrate reducers,1.509833376107427,0.01216306476606331,205.0,1.0,1.509833376107427,1.509833376107427,1.0,0.00805589872269315
H,0.0,1,Slow,Mobile active sulphate reducers,0.007722001427336784,6.22076614351171e-05,205.0,1.0,0.007722001427336784,0.007722001427336784,1.0,0.008055898722693152
H,0.0,1,Slow,Mobile active ammonia oxidizers,0.28813317456896803,0.002321171672975672,205.0,1.0,0.28813317456896803,0.28813317456896803,1.0,0.00805589872269315
H,0.0,1,Slow,Immobile inactive aerobic degraders,53.707987746740656,0.43266610988738746,205.0,1.0,53.707987746740656,53.707987746740656,1.0,0.00805589872269315
H,0.0,1,Slow,Immobile inactive nitrate reducers,17.95039984404896,0.14460660317550536,205.0,1.0,17.95039984404896,17.95039984404896,1.0,0.00805589872269315
H,0.0,1,Slow,Immobile inactive sulphate reducers,1.4919620086020235,0.01201909483940375,205.0,1.0,1.4919620086020235,1.4919620086020235,1.0,0.008055898722693152
H,0.0,1,Slow,Immobile inactive ammonia oxidizers,0.669099324310419,0.005390196392067155,205.0,1.0,0.669099324310419,0.669099324310419,1.0,0.00805589872269315
H,0.0,1,Slow,Mobile inactive aerobic degraders,28.646032183282014,0.2307695340755284,205.0,1.0,28.646032183282014,28.646032183282014,1.0,0.008055898722693149
H,0.0,1,Slow,Mobile inactive nitrate reducers,9.58750505655317,0.0772359697389008,205.0,1.0,9.58750505655317,9.58750505655317,1.0,0.00805589872269315
H,0.0,1,Slow,Mobile inactive sulphate reducers,0.7886368005175947,0.006353178193958505,205.0,1.0,0.7886368005175947,0.7886368005175947,1.0,0.008055898722693152
H,0.0,1,Slow,Mobile inactive ammonia oxidizers,0.36579328988849696,0.002946793696782468,205.0,1.0,0.36579328988849696,0.36579328988849696,1.0,0.00805589872269315
H,0.0,1,Slow,Total,124.13264297663513,1.0,205.0,1.0,124.13264297663513,124.13264297663513,1.0,0.008055898722693152
37,0.1,2,Slow,Immobile active aerobic degraders,4.27787482366992,0.034379447968631814,205.0,1.0,4.284191326307593,4.284191326307593,0.9985256254549403,0.008024722835677452
37,0.1,2,Slow,Immobile active nitrate reducers,3.011211443484737,0.02419981682751081,205.0,1.0,3.001638920409575,3.001638920409575,1.0031890987986842,0.008062201173820312
