Trial,Variance,Anisotropy,Regime,Chem,massflux_in,massflux_out,delmassflux,reldelmassflux,normmassflux,Time,fraction
H,0.0,1,Slow,DOC,-0.4560000000001202,-0.18587831657339066,-0.27012168342672954,59.23721127777595,0.40762788722224047,205.0,1.0
H,0.0,1,Slow,DO,-0.14250000000003746,-0.0006088397593032825,-0.14189116024073417,99.57274402855921,0.004272559714407877,205.0,1.0
H,0.0,1,Slow,Nitrate,-0.14250000000003746,-0.03609533863495792,-0.10640466136507953,74.66993780003618,0.2533006219996381,205.0,1.0
H,0.0,1,Slow,Ammonium,-0.034200000000008994,-0.027433002665044347,-0.006766997334964647,19.7865419150961,0.802134580849039,205.0,1.0
H,0.0,1,Slow,Nitrogen,-0.17806800000004683,-0.07658696101605866,-0.10148103898398816,56.990048174832914,0.43009951825167086,205.0,1.0
H,0.0,1,Slow,TOC,-0.4696800000001238,-0.3164645137339547,-0.1532154862661691,32.62124984375079,0.6737875015624921,205.0,1.0
37,0.1,2,Slow,DOC,-0.456453690093086,-0.18605907652099204,-0.27039461357209393,59.23812632930003,0.40761873670699966,205.0,1.0
37,0.1,2,Slow,DO,-0.14264177815408938,-0.0006095479693852071,-0.14203223018470418,99.57267220216035,0.0042732779783966265,205.0,1.0
37,0.1,2,Slow,Nitrate,-0.14264177815408938,-0.03613181271346747,-0.10650996544062191,74.66954409777765,0.2533045590222237,205.0,1.0
37,0.1,2,Slow,Ammonium,-0.034234026756981444,-0.027465778374758828,-0.006768248382222616,19.770529567756288,0.8022947043224371,205.0,1.0
37,0.1,2,Slow,Nitrogen,-0.1782451659813501,-0.07667904121370721,-0.10156612476764289,56.98113842720976,0.43018861572790246,205.0,1.0
37,0.1,2,Slow,TOC,-0.4701473007958786,-0.31687357777580105,-0.15327372302007752,32.60121301571049,0.673987869842895,205.0,1.0
38,0.1,5,Slow,DOC,-0.45924309033981403,-0.18717504880171398,-0.27206804153810005,59.242707677275014,0.4075729232272498,205.0,1.0
38,0.1,5,Slow,DO,-0.14351346573119186,-0.0006127488418430082,-0.14290071688934886,99.57303738801018,0.004269626119898173,205.0,1.0
38,0.1,5,Slow,Nitrate,-0.14351346573119186,-0.036360075581792974,-0.1071533901493989,74.66434567896418,0.2533565432103582,205.0,1.0
38,0.1,5,Slow,Ammonium,-0.03444323177548605,-0.027672317785280107,-0.0067709139902059415,19.658184325853355,0.8034181567414664,205.0,1.0
38,0.1,5,Slow,Nitrogen,-0.17933442677769737,-0.07717207986451578,-0.10216234691318159,56.96750409212942,0.4303249590787058,205.0,1.0
38,0.1,5,Slow,TOC,-0.47302038305000843,-0.31857191377614097,-0.15444846927386746,32.6515462775605,0.6734845372243949,205.0,1.0
39,0.1,10,Slow,DOC,-0.457288059375672,-0.18648785038686258,-0.2708002089888094,59.21873607601488,0.40781263923985117,202.5,0.9878048780487804
39,0.1,10,Slow,DO,-0.14290251855489752,-0.0006111736975326873,-0.14229134485736483,99.57231425750003,0.004276857424999815,202.5,0.9878048780487804
