Trial,Variance,Anisotropy,Regime,Chem,massflux_in,massflux_out,delmassflux,reldelmassflux,normmassflux,Time,fraction,spatial_normmassflux_base,spatial_reldelmassflux_base,normmassflux_spatial_fraction,reldelmassflux_spatial_fraction,Da63
H,0.0,1,Slow,DOC,-0.4560000000001202,-0.18587831657339066,-0.27012168342672954,59.237211277775955,0.4076278872222405,205.0,1.0,0.4076278872222405,59.237211277775955,1.0,1.0,-0.8974005618624964
H,0.0,1,Slow,DO,-0.14250000000003746,-0.0006088397593032825,-0.14189116024073414,99.57274402855921,0.004272559714407877,205.0,1.0,0.004272559714407877,99.57274402855921,1.0,1.0,-5.455542166616287
H,0.0,1,Slow,Nitrate,-0.14250000000003746,-0.03609533863495792,-0.10640466136507952,74.6699378000362,0.2533006219996381,205.0,1.0,0.2533006219996381,74.6699378000362,1.0,1.0,-1.37317826639269
H,0.0,1,Slow,Ammonium,-0.034200000000008994,-0.027433002665044347,-0.006766997334964647,19.7865419150961,0.8021345808490391,205.0,1.0,0.8021345808490391,19.7865419150961,1.0,1.0,-0.2204788786486294
H,0.0,1,Slow,Nitrogen,-0.17806800000004686,-0.07658696101605866,-0.10148103898398816,56.99004817483291,0.4300995182516709,205.0,1.0,0.4300995182516709,56.99004817483291,1.0,1.0,-0.8437386592775403
H,0.0,1,Slow,TOC,-0.4696800000001238,-0.3164645137339547,-0.1532154862661691,32.62124984375079,0.6737875015624921,205.0,1.0,0.6737875015624921,32.62124984375079,1.0,1.0,-0.3948404973617582
37,0.1,2,Slow,DOC,-0.456453690093086,-0.18605907652099204,-0.27039461357209393,59.23812632930003,0.4076187367069997,205.0,1.0,0.4076278872222405,59.237211277775955,0.9999775517928786,1.0000154472417646,-0.8974230103215826
37,0.1,2,Slow,DO,-0.14264177815408938,-0.0006095479693852071,-0.14203223018470418,99.57267220216036,0.0042732779783966265,205.0,1.0,0.004272559714407877,99.57274402855921,1.0001681109303933,0.9999992786540177,-5.455374069814954
37,0.1,2,Slow,Nitrate,-0.14264177815408938,-0.03613181271346747,-0.10650996544062193,74.66954409777765,0.2533045590222237,205.0,1.0,0.2533006219996381,74.6699378000362,1.0000155428855821,0.9999947274328846,-1.3731627236278972
37,0.1,2,Slow,Ammonium,-0.034234026756981444,-0.027465778374758828,-0.006768248382222616,19.770529567756288,0.8022947043224371,205.0,1.0,0.8021345808490391,19.7865419150961,1.0001996217059095,0.9991907455376223,-0.22027927686448157
37,0.1,2,Slow,Nitrogen,-0.1782451659813501,-0.07667904121370721,-0.10156612476764287,56.98113842720976,0.4301886157279025,205.0,1.0,0.4300995182516709,56.99004817483291,1.0002071554894871,0.9998436613424888,-0.8435315252417889
37,0.1,2,Slow,TOC,-0.4701473007958786,-0.31687357777580105,-0.15327372302007752,32.601213015710485,0.6739878698428949,205.0,1.0,0.6737875015624921,32.62124984375079,1.000297376071741,0.9993857737475947,-0.3945431654975173
38,0.1,5,Slow,DOC,-0.459243090339814,-0.187175048801714,-0.27206804153810005,59.24270767727501,0.4075729232272498,205.0,1.0,0.4076278872222405,59.237211277775955,0.9998651613476073,1.0000927862635747,-0.8975354096064374
38,0.1,5,Slow,DO,-0.14351346573119186,-0.0006127488418430082,-0.14290071688934886,99.57303738801019,0.0042696261198981724,205.0,1.0,0.004272559714407877,99.57274402855921,0.9993133871248628,1.0000029461822493,-5.456229015317999
38,0.1,5,Slow,Nitrate,-0.14351346573119186,-0.036360075581792974,-0.1071533901493989,74.66434567896418,0.2533565432103582,205.0,1.0,0.2533006219996381,74.6699378000362,1.0002207701279162,0.999925108802327,-1.3729575206309121
38,0.1,5,Slow,Ammonium,-0.03444323177548605,-0.02767231778528011,-0.006770913990205942,19.658184325853355,0.8034181567414664,205.0,1.0,0.8021345808490391,19.7865419150961,1.001600200169738,0.9935128841718008,-0.21887995743497432
38,0.1,5,Slow,Nitrogen,-0.17933442677769734,-0.07717207986451577,-0.1021623469131816,56.967504092129424,0.4303249590787058,205.0,1.0,0.4300995182516709,56.99004817483291,1.0005241596827434,0.9996044207115895,-0.8432146369184991
38,0.1,5,Slow,TOC,-0.4730203830500084,-0.31857191377614097,-0.15444846927386746,32.6515462775605,0.6734845372243949,205.0,1.0,0.6737875015624921,32.62124984375079,0.9995503562511999,1.0009287330790457,-0.39529024223062176
39,0.1,10,Slow,DOC,-0.457288059375672,-0.18648785038686255,-0.2708002089888094,59.21873607601488,0.4078126392398512,202.5,0.9878048780487804,0.4076278872222405,59.237211277775955,1.0004532369433055,0.9996881149304203,-0.8969474276000297
39,0.1,10,Slow,DO,-0.14290251855489752,-0.0006111736975326872,-0.14229134485736486,99.57231425750004,0.004276857424999815,202.5,0.9878048780487804,0.004272559714407877,99.57274402855921,1.00100588660644,0.9999956838483928,-5.454536785574781
39,0.1,10,Slow,Nitrate,-0.14290251855489752,-0.03627601358841319,-0.10662650496648432,74.61485356923407,0.2538514643076593,202.5,0.9878048780487804,0.2533006219996381,74.6699378000362,1.0021746583315614,0.9992622970846763,-1.3710059692080523
39,0.1,10,Slow,Ammonium,-0.034296604453175394,-0.027508948061651613,-0.006787656391523782,19.791044914638306,0.802089550853617,202.5,0.9878048780487804,0.8021345808490391,19.7865419150961,0.999943862293813,1.0002275789049713,-0.22053501793059635
39,0.1,10,Slow,Nitrogen,-0.17857098718619993,-0.07686362579455562,-0.10170736139164432,56.956263161378935,0.43043736838621055,202.5,0.9878048780487804,0.4300995182516709,56.99004817483291,1.000785516189167,0.9994071769627159,-0.8429534514447463
