,Regime,Velocity,Pe,Trial,Chem,Conc_in,Conc_out,Normconc,base,rel_normconc,Variance,Anisotropy,Domain,Time_series,massflux_in,massflux_out,delmassflux,reldelmassflux,normmassflux,Time,fraction,temporal_normmassflux_base,spatial_normmassflux_base,temporal_reldelmassflux_base,spatial_reldelmassflux_base,normmassflux_temporal_fraction,normmassflux_spatial_fraction,reldelmassflux_temporal_fraction,reldelmassflux_spatial_fraction,Da63,k,tau63
0,Slow,0.00038,2,H,DOC,799.9999999999999,326.10230977787836,0.407627887222348,0.407627887222348,1.0,0.0,1,Original,0,-0.4560000000001202,-0.18587831657339066,-0.27012168342672954,59.23721127777596,0.4076278872222405,205.0,1.0,0.4076278872222405,0.4076278872222405,59.23721127777596,59.23721127777596,1.0,1.0,1.0,1.0,0.9025883932295145,0.004377563716401136,227.12456922528986
1,Slow,0.00038,2,H,DO,249.99999999999994,1.0681399286022502,0.004272559714409002,0.004272559714409002,1.0,0.0,1,Original,0,-0.14250000000003746,-0.0006088397593032825,-0.14189116024073414,99.57274402855921,0.004272559714407877,205.0,1.0,0.004272559714407877,0.004272559714407877,99.57274402855921,99.57274402855921,1.0,1.0,1.0,1.0,327.43292487900976,1.5880533167248148,0.6260824261205554
2,Slow,0.00038,2,H,Ammonium,60.0,48.128074850954995,0.8021345808492499,0.8021345808492499,1.0,0.0,1,Original,0,-0.034200000000008994,-0.027433002665044347,-0.006766997334964647,19.7865419150961,0.8021345808490391,205.0,1.0,0.8021345808490391,0.8021345808490391,19.7865419150961,19.7865419150961,1.0,1.0,1.0,1.0,0.22175345690370163,0.0010755067251139831,924.4500756036604
3,Slow,0.00038,2,H,Nitrate,249.99999999999994,63.32515549992618,0.25330062199970477,0.25330062199970477,1.0,0.0,1,Original,0,-0.14250000000003746,-0.03609533863495792,-0.10640466136507952,74.6699378000362,0.2533006219996381,205.0,1.0,0.2533006219996381,0.2533006219996381,74.6699378000362,74.6699378000362,1.0,1.0,1.0,1.0,1.3811165467836013,0.006698430567767934,148.43063062086404
4,Slow,0.00038,2,H,Nitrogen,312.3999999999999,134.3630895018573,0.43009951825178405,0.43009951825178405,1.0,0.0,1,Original,0,-0.17806800000004686,-0.07658696101605866,-0.10148103898398816,56.99004817483291,0.4300995182516709,205.0,1.0,0.4300995182516709,0.4300995182516709,56.99004817483291,56.99004817483291,1.0,1.0,1.0,1.0,0.8486162736541879,0.004115798337937938,241.5697251683129
5,Slow,0.00038,2,H,TOC,824.0000000000003,555.2009012876398,0.6737875015626694,0.6737875015626694,1.0,0.0,1,Original,0,-0.4696800000001238,-0.3164645137339547,-0.1532154862661691,32.62124984375079,0.6737875015624921,205.0,1.0,0.6737875015624921,0.6737875015624921,32.62124984375079,32.62124984375079,1.0,1.0,1.0,1.0,0.397123052113895,0.001926051206641439,516.2127932608806
6,Slow,0.00038,2,37,DOC,799.9999999999999,326.09498936561533,0.4076187367070192,0.407627887222348,0.9999775517926628,0.1,2,Original,0,-0.456453690093086,-0.18605907652099204,-0.27039461357209393,59.23812632930003,0.4076187367069997,205.0,1.0,0.4076187367069997,0.4076278872222405,59.23812632930003,59.23721127777596,1.0,0.9999775517928786,1.0,1.0000154472417646,0.9026109714623269,0.004377673221080657,227.11888785029717
7,Slow,0.00038,2,37,DO,250.0,1.0683194945992078,0.004273277978396831,0.004272559714409002,1.0001681109301777,0.1,2,Original,0,-0.14264177815408938,-0.0006095479693852071,-0.14203223018470418,99.57267220216036,0.0042732779783966265,205.0,1.0,0.0042732779783966265,0.004272559714407877,99.57267220216036,99.57274402855921,1.0,1.0001681109303933,1.0,0.9999992786540176,309.7404003154532,1.502244376390628,0.6618445633544059
8,Slow,0.00038,2,37,Ammonium,59.999999999999986,48.13768225934854,0.8022947043224758,0.8021345808492499,1.0001996217056948,0.1,2,Original,0,-0.034234026756981444,-0.027465778374758828,-0.006768248382222616,19.770529567756288,0.8022947043224371,205.0,1.0,0.8022947043224371,0.8021345808490391,19.770529567756288,19.7865419150961,1.0,1.0001996217059097,1.0,0.9991907455376224,0.2215527012310372,0.0010745330578752843,925.2877480659741
9,Slow,0.00038,2,37,Nitrate,250.0,63.326139755558984,0.2533045590222359,0.25330062199970477,1.000015542885367,0.1,2,Original,0,-0.14264177815408938,-0.03613181271346747,-0.10650996544062193,74.66954409777765,0.2533045590222237,205.0,1.0,0.2533045590222237,0.2533006219996381,74.66954409777765,74.6699378000362,1.0,1.000015542885582,1.0,0.9999947274328846,1.3811009141670165,0.006698354749404141,148.43231070022256
