,Regime,Trial,Chem,Conc_in,Conc_out,Normconc,base,rel_normconc,Variance,Anisotropy,massflux_in,massflux_out,delmassflux,reldelmassflux,normmassflux,Time,fraction,spatial_normmassflux_base,spatial_reldelmassflux_base,normmassflux_spatial_fraction,reldelmassflux_spatial_fraction,k,tau,Da
0,Slow,H,DOC,799.9999999999999,326.10230977787836,0.407627887222348,0.407627887222348,1.0,0.0,1,-0.456,-0.185878317,-0.270121683,59.23721128,0.407627887,205.0,1.0,0.407627887,59.23721128,1.0,1.0,0.004377563716401136,227.12456922528986,0.9025883932295145
1,Slow,H,DO,249.99999999999994,1.0681399286022502,0.004272559714409002,0.004272559714409002,1.0,0.0,1,-0.1425,-0.00060884,-0.14189116,99.57274403,0.00427256,205.0,1.0,0.00427256,99.57274403,1.0,1.0,1.5880533167248148,0.6260824261205554,327.43292487900976
2,Slow,H,Ammonium,60.0,48.128074850954995,0.8021345808492499,0.8021345808492499,1.0,0.0,1,-0.0342,-0.027433002999999997,-0.006766996999999999,19.78654192,0.8021345809999999,205.0,1.0,0.8021345809999999,19.78654192,1.0,1.0,0.0010755067251139831,924.4500756036604,0.22175345690370163
3,Slow,H,Nitrate,249.99999999999994,63.32515549992618,0.25330062199970477,0.25330062199970477,1.0,0.0,1,-0.1425,-0.036095339,-0.106404661,74.6699378,0.253300622,205.0,1.0,0.253300622,74.6699378,1.0,1.0,0.006698430567767934,148.43063062086404,1.3811165467836013
4,Slow,H,Nitrogen,312.3999999999999,134.3630895018573,0.43009951825178405,0.43009951825178405,1.0,0.0,1,-0.178068,-0.076586961,-0.10148103900000001,56.99004817,0.43009951799999996,205.0,1.0,0.43009951799999996,56.99004817,1.0,1.0,0.004115798337937938,241.5697251683129,0.8486162736541879
5,Slow,H,TOC,824.0000000000003,555.2009012876398,0.6737875015626694,0.6737875015626694,1.0,0.0,1,-0.46968000000000004,-0.316464514,-0.15321548599999998,32.62124984,0.673787502,205.0,1.0,0.673787502,32.62124984,1.0,1.0,0.001926051206641439,516.2127932608806,0.397123052113895
6,Slow,37,DOC,799.9999999999999,326.09498936561533,0.4076187367070192,0.407627887222348,0.9999775517926628,0.1,2,-0.45645369,-0.186059077,-0.270394614,59.23812633,0.407618737,205.0,1.0,0.407627887,59.23721128,0.999977552,1.000015447,0.004377673221080657,227.11888785029717,0.9026109714623269
7,Slow,37,DO,250.0,1.0683194945992078,0.004273277978396831,0.004272559714409002,1.0001681109301777,0.1,2,-0.142641778,-0.000609548,-0.14203223,99.57267220000001,0.004273278,205.0,1.0,0.00427256,99.57274403,1.000168111,0.9999992790000001,1.502244376390628,0.6618445633544059,309.7404003154532
8,Slow,37,Ammonium,59.999999999999986,48.13768225934854,0.8022947043224758,0.8021345808492499,1.0001996217056948,0.1,2,-0.034234027,-0.027465778,-0.006768248,19.77052957,0.802294704,205.0,1.0,0.8021345809999999,19.78654192,1.000199622,0.9991907459999999,0.0010745330578752843,925.2877480659741,0.2215527012310372
9,Slow,37,Nitrate,250.0,63.326139755558984,0.2533045590222359,0.25330062199970477,1.000015542885367,0.1,2,-0.142641778,-0.036131813,-0.106509965,74.6695441,0.253304559,205.0,1.0,0.253300622,74.6699378,1.000015543,0.999994727,0.006698354749404141,148.43231070022256,1.3811009141670165
